1700000000.0 | frontend-1 | INFO | GET /api/orders: 200
1700000000.0 | order-service-1 | INFO | DB запрос 11мс
1700000000.0 | payment-service-1 | INFO | Транзакция подтверждена
1700000000.0 | cache-service-1 | INFO | Cache hit ratio 77%
1700000000.0 | database-1 | INFO | Индекс использован
1700000010.0 | frontend-1 | INFO | Запрос обработан за 19мс
1700000010.0 | order-service-1 | INFO | DB запрос 17мс
1700000010.0 | payment-service-1 | INFO | Платёж авторизован
1700000010.0 | cache-service-1 | INFO | Cache hit ratio 90%
1700000010.0 | database-1 | INFO | Индекс использован
1700000020.0 | frontend-1 | INFO | GET /api/orders: 200
1700000020.0 | order-service-1 | INFO | Заказ создан id=124
1700000020.0 | payment-service-1 | INFO | Транзакция подтверждена
1700000020.0 | cache-service-1 | INFO | TTL обновлён
1700000020.0 | database-1 | INFO | SELECT 46мс
1700000030.0 | frontend-1 | INFO | GET /api/orders: 200
1700000030.0 | order-service-1 | INFO | Заказ создан id=22
1700000030.0 | payment-service-1 | INFO | Платёж авторизован
1700000030.0 | cache-service-1 | INFO | TTL обновлён
1700000030.0 | database-1 | INFO | SELECT 30мс
1700000040.0 | frontend-1 | INFO | GET /api/orders: 200
1700000040.0 | order-service-1 | INFO | Заказ создан id=573
1700000040.0 | payment-service-1 | INFO | Транзакция подтверждена
1700000040.0 | cache-service-1 | INFO | Cache hit ratio 99%
1700000040.0 | database-1 | INFO | SELECT 18мс
1700000050.0 | frontend-1 | INFO | GET /api/orders: 200
1700000050.0 | order-service-1 | INFO | DB запрос 4мс
1700000050.0 | payment-service-1 | INFO | Платёж авторизован
1700000050.0 | cache-service-1 | INFO | Cache hit ratio 91%
1700000050.0 | database-1 | INFO | Индекс использован
1700000060.0 | frontend-1 | INFO | Запрос обработан за 10мс
1700000060.0 | order-service-1 | INFO | DB запрос 13мс
1700000060.0 | payment-service-1 | INFO | Платёж авторизован
1700000060.0 | cache-service-1 | INFO | Cache hit ratio 94%
1700000060.0 | database-1 | INFO | SELECT 47мс
1700000070.0 | frontend-1 | INFO | Запрос обработан за 48мс
1700000070.0 | order-service-1 | INFO | DB запрос 10мс
1700000070.0 | payment-service-1 | INFO | Транзакция подтверждена
1700000070.0 | cache-service-1 | INFO | Cache hit ratio 99%
1700000070.0 | database-1 | INFO | Индекс использован
1700000080.0 | frontend-1 | INFO | Запрос обработан за 19мс
1700000080.0 | order-service-1 | INFO | DB запрос 37мс
1700000080.0 | payment-service-1 | INFO | Транзакция подтверждена
1700000080.0 | cache-service-1 | INFO | Cache hit ratio 81%
1700000080.0 | database-1 | INFO | SELECT 25мс
1700000090.0 | frontend-1 | INFO | Запрос обработан за 9мс
1700000090.0 | order-service-1 | INFO | Заказ создан id=68
1700000090.0 | payment-service-1 | INFO | Транзакция подтверждена
1700000090.0 | cache-service-1 | INFO | TTL обновлён
1700000090.0 | database-1 | INFO | Индекс использован
1700000100.0 | frontend-1 | INFO | Запрос обработан за 21мс
1700000100.0 | order-service-1 | INFO | Заказ создан id=937
1700000100.0 | payment-service-1 | INFO | Платёж авторизован
1700000100.0 | cache-service-1 | INFO | Cache hit ratio 76%
1700000100.0 | database-1 | INFO | Индекс использован
1700000110.0 | frontend-1 | INFO | Запрос обработан за 6мс
1700000110.0 | order-service-1 | INFO | Заказ создан id=636
1700000110.0 | payment-service-1 | INFO | Платёж авторизован
1700000110.0 | cache-service-1 | INFO | Cache hit ratio 70%
1700000110.0 | database-1 | INFO | SELECT 16мс
1700000120.0 | frontend-1 | INFO | Запрос обработан за 27мс
1700000120.0 | order-service-1 | INFO | Заказ создан id=743
1700000120.0 | payment-service-1 | INFO | Транзакция подтверждена
1700000120.0 | cache-service-1 | INFO | Cache hit ratio 71%
1700000120.0 | database-1 | INFO | Индекс использован
1700000130.0 | frontend-1 | INFO | Запрос обработан за 11мс
1700000130.0 | order-service-1 | INFO | Заказ создан id=654
