timestamp,instance,cpu,memory,latency_ms,rps
1700000000.0,frontend-1,0.1561,0.3688,13.1257,209.4056
1700000000.0,order-service-1,0.2415,0.4979,25.3835,177.4701
1700000000.0,payment-service-1,0.1997,0.4244,19.7588,165.4445
1700000000.0,cache-service-1,0.1007,0.7564,2.2338,482.8142
1700000000.0,database-1,0.2611,0.5616,8.8785,299.4009
1700000001.0,frontend-1,0.1463,0.3796,13.8338,198.4547
1700000001.0,order-service-1,0.2872,0.5359,26.5969,182.9236
1700000001.0,payment-service-1,0.2083,0.4629,22.2833,157.1551
1700000001.0,cache-service-1,0.0949,0.6593,2.308,522.5794
1700000001.0,database-1,0.2466,0.5664,7.1755,307.8071
1700000002.0,frontend-1,0.1649,0.4163,11.0017,202.3216
1700000002.0,order-service-1,0.3035,0.5587,27.6143,181.7888
1700000002.0,payment-service-1,0.2136,0.452,18.5782,164.419
1700000002.0,cache-service-1,0.0854,0.684,1.7648,487.2224
1700000002.0,database-1,0.2417,0.6598,7.1342,311.6193
1700000003.0,frontend-1,0.1163,0.39,12.2441,205.8622
1700000003.0,order-service-1,0.3213,0.5817,23.9538,176.3012
1700000003.0,payment-service-1,0.2172,0.4443,15.4486,152.067
1700000003.0,cache-service-1,0.0908,0.7249,2.0712,513.8097
1700000003.0,database-1,0.2372,0.6063,8.6256,296.2878
1700000004.0,frontend-1,0.1591,0.3801,11.4554,196.1826
1700000004.0,order-service-1,0.2641,0.5695,23.5918,180.1
1700000004.0,payment-service-1,0.2096,0.4634,19.3308,159.3106
1700000004.0,cache-service-1,0.0958,0.696,1.1563,471.0578
1700000004.0,database-1,0.2103,0.5601,8.3998,289.1343
1700000005.0,frontend-1,0.1424,0.439,11.4656,207.3752
1700000005.0,order-service-1,0.272,0.5418,22.1499,177.2877
1700000005.0,payment-service-1,0.2168,0.3982,18.8688,161.6641
1700000005.0,cache-service-1,0.0941,0.6277,2.0361,489.4101
1700000005.0,database-1,0.257,0.6009,9.6018,297.1277
1700000006.0,frontend-1,0.1295,0.4054,12.33,213.5919
1700000006.0,order-service-1,0.3251,0.5643,29.3899,170.4899
1700000006.0,payment-service-1,0.1872,0.4222,17.2204,150.3632
1700000006.0,cache-service-1,0.1064,0.6889,1.2646,479.6884
1700000006.0,database-1,0.2594,0.6335,9.9967,334.9663
1700000007.0,frontend-1,0.1583,0.3703,8.8019,202.6771
1700000007.0,order-service-1,0.2756,0.5334,23.1637,178.8737
1700000007.0,payment-service-1,0.2213,0.4547,17.6827,152.7504
1700000007.0,cache-service-1,0.0833,0.6757,1.9731,535.3586
1700000007.0,database-1,0.2539,0.6393,7.5007,285.7807
1700000008.0,frontend-1,0.1307,0.3782,15.1927,191.7861
1700000008.0,order-service-1,0.3252,0.5139,27.7947,183.0796
1700000008.0,payment-service-1,0.1969,0.4488,16.6904,163.1225
1700000008.0,cache-service-1,0.0955,0.6387,1.361,503.4518
1700000008.0,database-1,0.2974,0.6064,7.8814,303.4299
1700000009.0,frontend-1,0.1761,0.4066,11.3836,211.0629
1700000009.0,order-service-1,0.3129,0.6114,25.5497,170.2042
1700000009.0,payment-service-1,0.1726,0.4995,21.4473,158.7434
1700000009.0,cache-service-1,0.0962,0.7731,1.4465,482.1055
1700000009.0,database-1,0.2693,0.5842,7.9949,298.0387
1700000010.0,frontend-1,0.1568,0.4422,12.1359,206.4394
1700000010.0,order-service-1,0.2385,0.5481,22.4703,170.2495
