timestamp,instance,cpu,memory,latency_ms,rps
1700000000.0,cache-service-1,0.0967,0.7014,1.6201,470.899
1700000000.0,database-1,0.2324,0.5904,7.4127,295.8886
1700000000.0,frontend-1,0.1486,0.393,12.0055,203.5575
1700000000.0,order-service-1,0.3041,0.5597,29.5762,176.6005
1700000000.0,payment-service-1,0.216,0.4405,17.888,164.8435
1700000001.0,cache-service-1,0.1068,0.7097,2.1421,519.8963
1700000001.0,database-1,0.2512,0.6083,7.4471,286.0426
1700000001.0,frontend-1,0.1339,0.4121,12.7928,196.8101
1700000001.0,order-service-1,0.2903,0.5436,21.9562,175.1432
1700000001.0,payment-service-1,0.1954,0.4592,18.5337,152.3937
1700000002.0,cache-service-1,0.1057,0.7119,2.0289,500.5378
1700000002.0,database-1,0.2559,0.6016,7.3895,316.5506
1700000002.0,frontend-1,0.1566,0.4031,11.0139,193.3244
1700000002.0,order-service-1,0.3138,0.5533,26.2893,174.4013
1700000002.0,payment-service-1,0.2004,0.439,17.2346,159.7349
1700000003.0,cache-service-1,0.1069,0.6897,1.7751,508.3158
1700000003.0,database-1,0.2592,0.582,8.4698,309.9489
1700000003.0,frontend-1,0.1476,0.4014,12.9971,204.1156
1700000003.0,order-service-1,0.2985,0.5469,25.641,182.8735
1700000003.0,payment-service-1,0.1975,0.4431,19.057,163.6919
1700000004.0,cache-service-1,0.1047,0.6941,2.3058,534.6478
1700000004.0,database-1,0.2403,0.6033,8.4529,281.9777
1700000004.0,frontend-1,0.1468,0.3901,11.3238,191.7275
1700000004.0,order-service-1,0.291,0.5474,23.9414,185.7189
1700000004.0,payment-service-1,0.1977,0.4551,18.6832,159.1317
1700000005.0,cache-service-1,0.0989,0.7107,2.1257,516.8515
1700000005.0,database-1,0.2396,0.6044,7.89,300.7327
1700000005.0,frontend-1,0.1555,0.4127,10.2267,195.0866
1700000005.0,order-service-1,0.3146,0.5544,29.0218,184.771
1700000005.0,payment-service-1,0.2019,0.4549,21.7597,158.106
1700000006.0,cache-service-1,0.1002,0.6804,1.9256,503.3964
1700000006.0,database-1,0.2475,0.6028,6.9417,297.1811
1700000006.0,frontend-1,0.1499,0.3999,13.7785,189.5823
1700000006.0,order-service-1,0.3143,0.5574,20.3119,174.5261
1700000006.0,payment-service-1,0.2048,0.4648,16.5389,158.8028
1700000007.0,cache-service-1,0.1005,0.6843,2.0734,521.1144
1700000007.0,database-1,0.2438,0.5844,8.2166,299.8978
1700000007.0,frontend-1,0.1363,0.4084,13.1559,201.1703
1700000007.0,order-service-1,0.3025,0.551,24.8279,181.5636
1700000007.0,payment-service-1,0.1888,0.4485,17.5188,163.5128
1700000008.0,cache-service-1,0.1016,0.6987,1.981,523.5652
1700000008.0,database-1,0.2552,0.6,6.1122,304.4298
1700000008.0,frontend-1,0.1412,0.4039,12.9554,183.5408
1700000008.0,order-service-1,0.3082,0.5717,24.5162,189.0585
1700000008.0,payment-service-1,0.187,0.4413,18.9141,156.0165
1700000009.0,cache-service-1,0.1079,0.7166,1.859,506.3103
1700000009.0,database-1,0.2645,0.6097,8.8253,298.7648
1700000009.0,frontend-1,0.1458,0.4058,10.3536,200.9376
1700000009.0,order-service-1,0.3098,0.5411,23.7441,187.7456
1700000009.0,payment-service-1,0.1925,0.4506,18.0647,162.0773
1700000010.0,cache-service-1,0.0966,0.7062,1.746,475.4035
1700000010.0,database-1,0.2792,0.6222,6.7911,298.454
1700000010.0,frontend-1,0.1442,0.3998,12.2046,197.4764
1700000010.0,order-service-1,0.3217,0.5391,21.6155,180.9706
1700000010.0,payment-service-1,0.2127,0.4246,19.1419,160.2956
1700000011.0,cache-service-1,0.104,0.7151,1.8968,513.7159
1700000011.0,database-1,0.2518,0.5992,7.5343,291.7912
1700000011.0,frontend-1,0.1613,0.394,11.7782,203.4424
1700000011.0,order-service-1,0.2791,0.5441,22.9956,181.0066
1700000011.0,payment-service-1,0.195,0.4455,15.8159,158.5951
1700000012.0,cache-service-1,0.0998,0.7028,1.8313,493.7975
1700000012.0,database-1,0.2546,0.6005,6.735,292.471
1700000012.0,frontend-1,0.151,0.4006,13.7796,200.0815
1700000012.0,order-service-1,0.2829,0.5414,25.2644,175.6966
1700000012.0,payment-service-1,0.1973,0.4445,18.0696,161.4903
1700000013.0,cache-service-1,0.0998,0.7175,1.6319,502.4178
1700000013.0,database-1,0.2503,0.6003,7.1646,293.6589
1700000013.0,frontend-1,0.1617,0.4062,12.5756,205.5212
1700000013.0,order-service-1,0.2795,0.5623,21.576,173.7723
1700000013.0,payment-service-1,0.1966,0.4582,16.1003,163.9933
1700000014.0,cache-service-1,0.1082,0.7152,2.0655,481.6254
1700000014.0,database-1,0.2427,0.5883,7.7798,298.0048
1700000014.0,frontend-1,0.1453,0.4127,13.8767,201.7434
1700000014.0,order-service-1,0.3006,0.5579,25.2763,167.2034
1700000014.0,payment-service-1,0.1971,0.4504,19.5281,164.0793
1700000015.0,cache-service-1,0.0931,0.6816,1.8211,500.0829
1700000015.0,database-1,0.2192,0.6084,7.411,288.0194
1700000015.0,frontend-1,0.1435,0.4075,10.9628,195.4498
1700000015.0,order-service-1,0.2856,0.5512,25.7837,177.5654
1700000015.0,payment-service-1,0.2076,0.4599,19.2382,161.9123
1700000016.0,cache-service-1,0.0988,0.6931,2.2862,495.1403
1700000016.0,database-1,0.2489,0.6256,7.8577,302.2269
1700000016.0,frontend-1,0.1486,0.4088,11.1218,199.9206
1700000016.0,order-service-1,0.3126,0.5319,26.7029,172.8669
1700000016.0,payment-service-1,0.2019,0.4636,17.1332,165.8227
1700000017.0,cache-service-1,0.1088,0.6973,2.2364,501.1014
1700000017.0,database-1,0.2543,0.5921,7.2852,299.0971
1700000017.0,frontend-1,0.1554,0.3901,10.7569,204.0656
1700000017.0,order-service-1,0.3091,0.5523,22.8186,183.3772
1700000017.0,payment-service-1,0.2028,0.4358,15.6803,163.7072
1700000018.0,cache-service-1,0.0972,0.7171,2.3526,485.6736
1700000018.0,database-1,0.2745,0.5935,8.0066,308.1973
1700000018.0,frontend-1,0.1616,0.4011,12.3825,195.3159
1700000018.0,order-service-1,0.3173,0.5603,27.3698,172.3179
1700000018.0,payment-service-1,0.2079,0.4565,20.2304,149.2777
1700000019.0,cache-service-1,0.1041,0.6891,2.0077,498.0041
1700000019.0,database-1,0.2346,0.6082,9.8368,314.3603
1700000019.0,frontend-1,0.1582,0.4062,12.1051,196.8203
1700000019.0,order-service-1,0.2952,0.5526,22.5708,173.5943
1700000019.0,payment-service-1,0.1842,0.4427,18.8022,167.9133
1700000020.0,cache-service-1,0.0955,0.6787,2.0058,500.2
1700000020.0,database-1,0.267,0.5972,8.857,307.1258
1700000020.0,frontend-1,0.1548,0.4027,13.485,195.6748
1700000020.0,order-service-1,0.3215,0.5493,25.1945,179.7823
1700000020.0,payment-service-1,0.1914,0.4531,15.3012,157.1858
1700000021.0,cache-service-1,0.0953,0.7048,2.1346,485.5442
1700000021.0,database-1,0.2792,0.5829,8.0664,294.8715
1700000021.0,frontend-1,0.1542,0.4032,11.7108,191.037
1700000021.0,order-service-1,0.2941,0.5534,24.0903,179.2723
1700000021.0,payment-service-1,0.1759,0.452,19.7642,155.1369
1700000022.0,cache-service-1,0.0965,0.7021,1.835,509.7004
1700000022.0,database-1,0.2627,0.602,8.2884,306.9808
1700000022.0,frontend-1,0.1514,0.39,12.437,193.2076
1700000022.0,order-service-1,0.2939,0.5579,27.9216,185.5902
1700000022.0,payment-service-1,0.201,0.4479,17.8663,161.2357
1700000023.0,cache-service-1,0.1058,0.7075,2.1586,507.1699
1700000023.0,database-1,0.2551,0.5934,8.7079,296.8239
1700000023.0,frontend-1,0.1513,0.3974,9.4709,199.4764
1700000023.0,order-service-1,0.3082,0.535,26.8388,188.7282
1700000023.0,payment-service-1,0.2028,0.4656,21.1112,158.2478
1700000024.0,cache-service-1,0.095,0.6886,2.0905,472.5236
1700000024.0,database-1,0.2568,0.6092,6.3169,290.5123
1700000024.0,frontend-1,0.1566,0.406,10.2256,197.5414
1700000024.0,order-service-1,0.3068,0.5503,23.1207,173.8054
1700000024.0,payment-service-1,0.2053,0.4457,18.1831,162.3801
1700000025.0,cache-service-1,0.104,0.679,2.1924,517.9145
1700000025.0,database-1,0.2452,0.611,7.3999,302.7938
1700000025.0,frontend-1,0.1521,0.4047,10.0029,200.6086
1700000025.0,order-service-1,0.2871,0.5372,20.774,179.684
1700000025.0,payment-service-1,0.1858,0.4558,17.4852,160.0524
1700000026.0,cache-service-1,0.1,0.6821,2.1541,484.7461
1700000026.0,database-1,0.24,0.6014,8.1485,286.7123
1700000026.0,frontend-1,0.1554,0.4027,12.2455,191.4811
1700000026.0,order-service-1,0.2922,0.5525,25.2052,176.3519
1700000026.0,payment-service-1,0.1979,0.4523,14.599,156.8973
1700000027.0,cache-service-1,0.0966,0.6784,2.2063,468.3225
1700000027.0,database-1,0.2413,0.6037,8.4581,305.7965
1700000027.0,frontend-1,0.1521,0.3995,11.6058,204.099
1700000027.0,order-service-1,0.3252,0.5381,23.107,176.9256
1700000027.0,payment-service-1,0.1988,0.4614,18.7553,171.8072
1700000028.0,cache-service-1,0.0999,0.6995,2.2754,482.0315
1700000028.0,database-1,0.2649,0.5982,7.2433,295.2325
1700000028.0,frontend-1,0.1476,0.4014,10.1809,205.4161
1700000028.0,order-service-1,0.3002,0.539,25.4864,171.4427
1700000028.0,payment-service-1,0.2085,0.4446,16.4682,160.2296
1700000029.0,cache-service-1,0.0993,0.7022,2.292,496.1916
1700000029.0,database-1,0.2562,0.5921,7.1078,304.5703
1700000029.0,frontend-1,0.1385,0.397,11.8899,200.5839
1700000029.0,order-service-1,0.3124,0.5503,23.6175,175.1001
1700000029.0,payment-service-1,0.2021,0.4608,21.2854,154.1477
1700000030.0,cache-service-1,0.107,0.6965,2.0383,473.0551
1700000030.0,database-1,0.2464,0.591,8.1326,291.3931
1700000030.0,frontend-1,0.1513,0.4047,10.933,201.5461
1700000030.0,order-service-1,0.3354,0.5407,28.3672,177.8297
1700000030.0,payment-service-1,0.203,0.4567,20.8924,157.5975
1700000031.0,cache-service-1,0.1017,0.7069,2.0138,483.3017
1700000031.0,database-1,0.2273,0.578,9.0072,294.5281
1700000031.0,frontend-1,0.1494,0.3879,13.0532,216.6083
1700000031.0,order-service-1,0.2999,0.5516,22.9329,181.691
1700000031.0,payment-service-1,0.2061,0.4556,16.372,160.2945
1700000032.0,cache-service-1,0.0956,0.7074,2.1543,493.1599
1700000032.0,database-1,0.2482,0.6068,7.6388,304.0563
1700000032.0,frontend-1,0.1439,0.3869,12.047,198.6876
1700000032.0,order-service-1,0.3144,0.5567,31.4797,184.5574
1700000032.0,payment-service-1,0.1938,0.4438,14.5787,162.363
1700000033.0,cache-service-1,0.0979,0.7016,2.1058,490.7028
1700000033.0,database-1,0.2432,0.5974,8.4541,302.471
1700000033.0,frontend-1,0.148,0.3986,13.0169,200.6927
1700000033.0,order-service-1,0.2921,0.5305,25.9935,180.3347
1700000033.0,payment-service-1,0.1829,0.4611,19.2491,161.605
